,索引,姓名,科室名称,科室标准名称,省（市）,市（区）,医院名称,职位,链接,标准科室名称
26,1205,李凤荣,干部医疗门诊,干部医疗,北京,石景山区,清华大学玉泉医院,副主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=6f229acc-f89c-4223-96fc-6110f8b70ac3000&hospDeptId=aaf6bfcd-b57c-4ef3-b718-7f5a6ba8f038000&hospId==4cb5d020-bf13-47b7-b0b1-e5a26a48bc5d00,干部医疗
27,1219,郝春波,脑病专家,脑病科,北京,顺义区,北京中医医院顺义医院,副教授,https://www.guahao.com/expert/new/shiftcase?expertId=4bb978fc-03cc-4666-a071-7aac525eb5be000&hospDeptId=5b2a583b-113f-4fd8-9ebb-30fa9a42ccba000&hospId==3a968a19-d337-47f2-97c5-339b2e069d3f00,脑病科
28,1222,沈冬,皮肤科,皮肤科,北京,朝阳区,固生堂北京中海中医医院,主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=30ad81de-821b-4a8c-ad25-045e3fb4f3d2000&hospDeptId=e005daed-dfd9-4284-adde-500ef674de64000&hospId==6a674c2f-f8c1-45da-8052-33c297836e8700,皮肤科
29,1242,王造文,眼科,眼科,北京,东城区,北京协和医院,副主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=987048f8-c720-11e1-913c-5cf9dd2e7135000&hospDeptId=5de31e3a-974c-423e-a938-4cf7da98665b000&hospId==17634310-b567-4d21-8a02-20dc15e90da500,眼科
30,1249,普通门诊,按摩门诊,按摩科,北京,海淀区,航天中心医院,暂无,https://www.guahao.com/expert/new/shiftcase?expertId=98e381ff-ff28-4755-afa4-589afed9588d000&hospDeptId=d2545fc8-f307-4e88-a744-be10329cea2f000&hospId==06cafaaa-2e85-4f51-8e4b-4e1a29ca038e00,按摩科
31,1347,马燕燕,口腔科,口腔科,北京,朝阳区,首都医科大学附属北京朝阳医院,主治医师,https://www.guahao.com/expert/new/shiftcase?expertId=d699c88f-a9cd-4834-91fb-6bd32bf0f22e000&hospDeptId=2a392d17-7be3-4a82-8dc6-73e9e2a4835e000&hospId==34250b55-2a8b-474a-95e9-48150516d7a500,口腔科
32,1424,段岚桦,皮肤科,皮肤科,北京,朝阳区,北京京城皮肤医院,主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=e716cdfd-35a7-477b-891e-094b75885584000&hospDeptId=247ae712-86fd-46af-a5d2-138a3f714b33000&hospId==3864c3af-f1ea-42a2-9827-791def8dfad300,皮肤科
33,1444,栗智,口腔修复门诊,口腔修复科,北京,海淀区,航天中心医院,暂无,https://www.guahao.com/expert/new/shiftcase?expertId=1ddb9e4e-fc19-403a-b8af-a8160d9963d4000&hospDeptId=e810ff60-e335-4751-91f9-cfac48cdb12e000&hospId==06cafaaa-2e85-4f51-8e4b-4e1a29ca038e00,口腔修复科
34,1453,龚闽,口腔科,口腔科,北京,石景山区,清华大学玉泉医院,副主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=e64607df-6c12-4a5b-9e25-a339cd2f2256000&hospDeptId=bc9244a9-f3f4-4b00-b78e-f7be0e85bf1a000&hospId==4cb5d020-bf13-47b7-b0b1-e5a26a48bc5d00,口腔科
35,1637,易忠,老年病门诊（一科）,老年病科,北京,海淀区,航天中心医院,主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=b6622fa0-e82d-4824-8158-1f85700ea366000&hospDeptId=bbe0ad1a-2ae4-4e26-9402-f8644f06185b000&hospId==06cafaaa-2e85-4f51-8e4b-4e1a29ca038e00,老年病科
36,1717,张玉玮,口腔修复门诊,口腔修复科,北京,海淀区,航天中心医院,暂无,https://www.guahao.com/expert/new/shiftcase?expertId=26201b27-45e8-4b97-ab3e-fba71a90c6c3000&hospDeptId=e810ff60-e335-4751-91f9-cfac48cdb12e000&hospId==06cafaaa-2e85-4f51-8e4b-4e1a29ca038e00,口腔修复科
37,1743,倪青,内分泌门诊,内分泌科,北京,西城区,中国中医科学院广安门医院,主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=facaffbb-167d-49b8-8220-08f7d6e8ae07000&hospDeptId=1b419db6-7068-40ae-b928-2ea056a48ae9000&hospId==0d9e9586-281f-423a-958f-ad1ca4cda22e00,内分泌科
38,1783,陈虹,眼科特需门诊部,眼科特需部,北京,东城区,首都医科大学附属北京同仁医院,主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=1b665c2a-9c0f-4ae0-b227-2f49bdb4b75c000&hospDeptId=00cecfd7-d73b-47ce-bf6e-d5873b4eb090000&hospId==c15ed5e1-28fc-4183-8e9c-24b60ae4ba4100,眼科特需部
39,1789,刘久利,皮肤科专家,皮肤科,北京,顺义区,北京中医医院顺义医院,副主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=dbf8137e-1541-4e71-a954-ca786951d255000&hospDeptId=91e25ed7-1f13-4acb-b1af-1e1fe8b9b790000&hospId==3a968a19-d337-47f2-97c5-339b2e069d3f00,皮肤科
40,1864,徐光芝,神经内科,神经内科,北京,朝阳区,首都儿科研究所附属儿童医院,主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=e42cd450-add7-41b2-9c07-f6e765638bc6000&hospDeptId=c70be800-3256-4e2c-ac73-c98461f6984f000&hospId==3656053a-8313-4ac1-9d6a-5af70382f46200,神经内科
41,1907,王玉敏,胸部肿瘤门诊(内),胸部肿瘤科,北京,海淀区,航天中心医院,副主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=a0faf5f3-06c9-45ef-a2ce-1519ecadf27c000&hospDeptId=3c292744-a530-4593-8bd7-b26c4a3aed7c000&hospId==06cafaaa-2e85-4f51-8e4b-4e1a29ca038e00,胸部肿瘤科
42,1915,张秋香,肝病专家,肝病科,北京,顺义区,北京中医医院顺义医院,主治医师,https://www.guahao.com/expert/new/shiftcase?expertId=f46026e3-4879-43e3-83ec-a015e16bdbf3000&hospDeptId=dbd8e12a-f356-4ec6-81c6-cb13c844d059000&hospId==3a968a19-d337-47f2-97c5-339b2e069d3f00,肝病科
43,1925,陆荫英,肿瘤内科,肿瘤内科,北京,丰台区,解放军总医院第五医学中心（原302医院）,主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=f3875591-466b-476b-aeb1-39c81e0be661000&hospDeptId=ff7e0704-87b7-4b18-839d-42817801da7e000&hospId==dcddeb8c-b035-495f-a171-559697e7c1bd00,肿瘤内科
44,2028,肾内普通号,肾内科,肾内科,北京,朝阳区,战略支援部队特色医学中心（原解放军第306医院）,主治医师,https://www.guahao.com/expert/new/shiftcase?expertId=927a65d6-1899-41f2-b4ec-34b40614ee9f000&hospDeptId=86cd5f27-595e-4a4d-aba5-ebec46f91e93000&hospId==aa0a1d2d-dcb8-4fa1-9332-6799900b48bc00,肾内科
45,2057,曲红梅,口腔科,口腔科,北京,石景山区,清华大学玉泉医院,主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=04c60eb3-b15e-494a-a1cc-0a85c16d6bd1000&hospDeptId=bc9244a9-f3f4-4b00-b78e-f7be0e85bf1a000&hospId==4cb5d020-bf13-47b7-b0b1-e5a26a48bc5d00,口腔科
46,2183,高跃国,中医门诊,中医科,北京,海淀区,航天中心医院,主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=0a3a414c-4758-4907-9e40-5423487d6c91000&hospDeptId=112e44cb-75ce-4f53-a9e0-b72834edf1dd000&hospId==06cafaaa-2e85-4f51-8e4b-4e1a29ca038e00,中医科
47,2190,黄艳影,针灸科,针灸科,北京,朝阳区,固生堂北京中海中医医院,副主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=221ad1ff-6551-4748-b1d6-8240afb7652d000&hospDeptId=c241d489-625a-49e0-b6cb-122d183ca653000&hospId==6a674c2f-f8c1-45da-8052-33c297836e8700,针灸科
48,2191,王宗烨,放疗科,放疗科,北京,朝阳区,战略支援部队特色医学中心（原解放军第306医院）,主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=40f36f78-356c-4c89-93bd-46da6d53e13e000&hospDeptId=d493e63f-3a5d-45bf-bcc5-806342c4d8d3000&hospId==aa0a1d2d-dcb8-4fa1-9332-6799900b48bc00,放疗科
49,2218,贾化平,超声医学科,超声医学科,北京,朝阳区,战略支援部队特色医学中心（原解放军第306医院）,副主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=b9a4d1b6-f218-449f-bc6f-be8b2026edd6000&hospDeptId=00f75901-3ef4-4cc6-8fa8-ae8fcb689abc000&hospId==aa0a1d2d-dcb8-4fa1-9332-6799900b48bc00,超声医学科
50,2249,隋大立,神经外科,神经外科,北京,丰台区,首都医科大学附属北京天坛医院,主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=720db756-5844-4b47-b405-58cc8cd9e51f000&hospDeptId=CCF26DB04E6E1DF9E040A8C0790228AB000&hos&hospId==3c6a981b-fe49-4851-90b5-5dc0978a152900,神经外科
51,2291,赫崇军,泌尿外科,泌尿外科,北京,西城区,北京大学人民医院,主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=96c028ed-c720-11e1-913c-5cf9dd2e7135000&hospDeptId=240e0c44-a122-4169-9fad-69e919f14639000&hospId==522c96ab-97a5-474c-9959-0c18a5ef5a0500,泌尿外科
52,2317,柳迎春,脑病专家,脑病科,北京,顺义区,北京中医医院顺义医院,主治医师,https://www.guahao.com/expert/new/shiftcase?expertId=0ecd3140-e9aa-4992-b508-626addf8ca87000&hospDeptId=5b2a583b-113f-4fd8-9ebb-30fa9a42ccba000&hospId==3a968a19-d337-47f2-97c5-339b2e069d3f00,脑病科
53,2387,程杰,眼科门诊,眼科,北京,海淀区,航天中心医院,副主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=5327aca5-2636-4be1-9578-98f190733fe2000&hospDeptId=f7ab69bd-46ed-40fe-8c36-1e5e7b6364fa000&hospId==06cafaaa-2e85-4f51-8e4b-4e1a29ca038e00,眼科
54,2417,裴骏,中医科,中医科,北京,朝阳区,固生堂北京中海中医医院,主治医师,https://www.guahao.com/expert/new/shiftcase?expertId=a3fd252f-637b-426d-bcea-e0f963180b28000&hospDeptId=744628ac-b73b-4b0b-b2c2-de3dfa2f3dc0000&hospId==6a674c2f-f8c1-45da-8052-33c297836e8700,中医科
55,2522,陈路燕,综合医疗科（传统医学科）,综合医疗科,北京,石景山区,清华大学玉泉医院,副主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=8901a09c-5349-4357-b18d-c0a686afa4ab000&hospDeptId=667df4dd-7701-485f-acb2-8caf9b04406a000&hospId==4cb5d020-bf13-47b7-b0b1-e5a26a48bc5d00,综合医疗科
56,2652,吴震,神经外科,神经外科,北京,丰台区,首都医科大学附属北京天坛医院,主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=CCF26DB04EAD1DF9E040A8C0790228AB000?hos&hospDeptId=CCF26DB04E6E1DF9E040A8C0790228AB000&hos&hospId==3c6a981b-fe49-4851-90b5-5dc0978a152900,神经外科
57,2675,袁玲玲,皮肤科,皮肤科,北京,朝阳区,固生堂北京中海中医医院,副主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=5640ecf7-b475-407c-ab87-2e5bb6f8153e000&hospDeptId=e005daed-dfd9-4284-adde-500ef674de64000&hospId==6a674c2f-f8c1-45da-8052-33c297836e8700,皮肤科
58,2681,皮肤科普通号,皮肤科,皮肤科,北京,朝阳区,战略支援部队特色医学中心（原解放军第306医院）,主治医师,https://www.guahao.com/expert/new/shiftcase?expertId=829e5f10-63e7-4a8c-a16f-743bc51b68e0000&hospDeptId=03a8f625-e3cb-4ac3-9990-ecadba6ecd33000&hospId==aa0a1d2d-dcb8-4fa1-9332-6799900b48bc00,皮肤科
59,2702,杨戈,中医内科,中医内科,北京,朝阳区,固生堂北京中海中医医院,主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=9f1e34dd-15bd-4a6d-8ad3-5e6427619035000&hospDeptId=f42983dc-6a8b-4a4c-91be-2bbbb2a6a772000&hospId==6a674c2f-f8c1-45da-8052-33c297836e8700,中医内科
60,2799,丁步国,普通外科门诊,普通外科,北京,海淀区,航天中心医院,副主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=3b5fd763-d2df-4c2c-96f4-c9c6d45f7898000&hospDeptId=3eb88b05-636f-47cd-9133-ce2ef0652d0f000&hospId==06cafaaa-2e85-4f51-8e4b-4e1a29ca038e00,普通外科
61,2944,李步满,综合医疗科（传统医学科）,综合医疗科,北京,石景山区,清华大学玉泉医院,主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=fff0fc51-d034-41fa-9f6f-8ec48b84135f000&hospDeptId=667df4dd-7701-485f-acb2-8caf9b04406a000&hospId==4cb5d020-bf13-47b7-b0b1-e5a26a48bc5d00,综合医疗科
62,2950,许美艳,医学营养减重门诊,医学营养减重科,北京,海淀区,航天中心医院,副主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=58c61f09-7308-4914-a247-e58bf7c66584000&hospDeptId=8bdf8726-4003-4d4d-b85b-8d9944e9fa81000&hospId==06cafaaa-2e85-4f51-8e4b-4e1a29ca038e00,医学营养减重科
63,3051,普通门诊,肝胆外科门诊,肝胆外科,北京,海淀区,航天中心医院,暂无,https://www.guahao.com/expert/new/shiftcase?expertId=d836c33f-0eae-4b81-9f7e-13c71be9b664000&hospDeptId=2f7d43d5-fd53-47ca-a670-8b5f5b02741d000&hospId==06cafaaa-2e85-4f51-8e4b-4e1a29ca038e00,肝胆外科
64,3084,郗瑞席,心血管科,心血管科,北京,东城区,北京固生堂中医医院,副主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=b6f83ff3-ed74-449f-9ec5-a21c00919c7d000&hospDeptId=5ec78870-964a-44bf-ad05-93a057963a78000&hospId==f730fff0-97fa-4c14-bdb5-57c890661a1000,心血管科
65,3253,杨淑霞,皮肤、性病科,皮肤科,北京,西城区,北京大学第一医院,主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=94fa28c6-c720-11e1-913c-5cf9dd2e7135000&hospDeptId=7438d6b5-06dd-4a89-8900-4165eee1fe0a000&hospId==384b93f5-e9f8-448e-8635-56ffea47f66100,皮肤科
66,3254,肛肠科门诊普通号,肛肠科门诊,肛肠科,北京,顺义区,北京中医医院顺义医院,副教授,https://www.guahao.com/expert/new/shiftcase?expertId=dc878bed-727e-496f-94af-8d870eda9614000&hospDeptId=fd46d86a-e700-402a-ab60-5664418a1752000&hospId==3a968a19-d337-47f2-97c5-339b2e069d3f00,肛肠科
67,3281,张玉琪,神经外科门诊,神经外科,北京,石景山区,清华大学玉泉医院,主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=41cbb05d-6667-47a4-ab39-eb8fd2c202f0000&hospDeptId=db6b0785-7147-4cf2-940d-2a672baf8cba000&hospId==4cb5d020-bf13-47b7-b0b1-e5a26a48bc5d00,神经外科
68,3302,呼吸内科普通号,呼吸内科,呼吸内科,北京,朝阳区,战略支援部队特色医学中心（原解放军第306医院）,主治医师,https://www.guahao.com/expert/new/shiftcase?expertId=7d9da42d-4cb5-4961-a2b1-9465f4e8da47000&hospDeptId=1b40731f-724f-4aa2-9a1e-243b4ee76ea8000&hospId==aa0a1d2d-dcb8-4fa1-9332-6799900b48bc00,呼吸内科
69,3319,张鸿,呼吸科,呼吸科,北京,朝阳区,首都医科大学附属北京朝阳医院,主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=94faefdb-c720-11e1-913c-5cf9dd2e7135000&hospDeptId=2671fbf4-ce39-4267-b940-d066702f88f1000&hospId==34250b55-2a8b-474a-95e9-48150516d7a500,呼吸科
70,3368,创口门诊普通号,创口门诊,创口科,北京,朝阳区,战略支援部队特色医学中心（原解放军第306医院）,主治医师,https://www.guahao.com/expert/new/shiftcase?expertId=bc381008-9f5f-459b-80fb-fa1a735701b8000&hospDeptId=2f2f4e9a-2ef9-4759-9022-f447dad47627000&hospId==aa0a1d2d-dcb8-4fa1-9332-6799900b48bc00,创口科
71,3405,康秀华,心血管内科门诊,心血管内科,北京,石景山区,清华大学玉泉医院,副主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=3eb2c37c-720c-4819-8e80-da99c4c67c9c000&hospDeptId=320c2e60-6173-4109-bb11-9f60b9683246000&hospId==4cb5d020-bf13-47b7-b0b1-e5a26a48bc5d00,心血管内科
72,3514,王德仲,普通外科门诊,普通外科,北京,海淀区,航天中心医院,副主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=cb363839-798d-42f0-9bd3-641db894a62d000&hospDeptId=3eb88b05-636f-47cd-9133-ce2ef0652d0f000&hospId==06cafaaa-2e85-4f51-8e4b-4e1a29ca038e00,普通外科
73,3536,李爱科,儿科,儿科,北京,朝阳区,固生堂北京中海中医医院,副主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=7e456b47-6de7-4574-acdd-8cb501a9dcb2000&hospDeptId=8afcab19-89e8-4d2f-9bfb-7b61013020fe000&hospId==6a674c2f-f8c1-45da-8052-33c297836e8700,儿科
74,3720,杨晓辉,疼痛门诊,疼痛科,北京,海淀区,航天中心医院,副主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=a3a85178-f5be-49a7-9f2d-fcd339e91159000&hospDeptId=703bbed1-437e-4de4-adb0-6b882bdae172000&hospId==06cafaaa-2e85-4f51-8e4b-4e1a29ca038e00,疼痛科
75,3736,白克文,骨科,骨科,北京,朝阳区,战略支援部队特色医学中心（原解放军第306医院）,副主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=1b2dd8f8-b9ad-4a14-8d8b-1e8183d501fb000&hospDeptId=fdebecab-8094-4ec0-8d3e-edbf156e2dc2000&hospId==aa0a1d2d-dcb8-4fa1-9332-6799900b48bc00,骨科
76,3778,苏琳,消化内科,消化内科,北京,西城区,北京星宜诊所,副主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=3a889669-ef96-4eb8-bd8f-63e01dd5b3c1000&hospDeptId=6fb43b13-7630-4804-b188-e451fa343710000&hospId==7e189dac-7fda-4f2b-86d0-50fa089566d000,消化内科
77,4074,杨文静,口腔科,口腔科,北京,石景山区,清华大学玉泉医院,副主任医师,https://www.guahao.com/expert/new/shiftcase?expertId=6886f327-7c75-45b2-b045-f3075885ff13000&hospDeptId=bc9244a9-f3f4-4b00-b78e-f7be0e85bf1a000&hospId==4cb5d020-bf13-47b7-b0b1-e5a26a48bc5d00,口腔科
78,4121,普通医生,呼吸内科,呼吸内科,北京,丰台区,解放军总医院第五医学中心（原307医院）,主治医师,https://www.guahao.com/expert/new/shiftcase?expertId=f2ddd6a9-9280-4c8a-827b-d3f128ff33b4000&hospDeptId=0ad9ee9b-8751-4514-b473-44a93fa36cfd000&hospId==9743eeb5-96ba-484e-b60c-51fe2af48a4100,呼吸内科
