类别,内容
疾病问诊,心房和心室的隔膜有个洞检查过是的挂号挂那科
疾病问诊,大腿上方经常无故疼痛，腰部躺直睡一段时间就刺痛。应该挂号看什么科和检查什么项目？
疾病问诊,前端是假在医院脾胃科住院了，胃病，回来了要吃完。结果又难受，心发慌，想再去看看，网上不能预约挂号吗？治疗过，就是想再去看下，预约挂号、想预约挂号，尽可能早的看病
疾病问诊,跑步后腿无力，抽筋。还没有检查请问需要去医院挂号是看哪一科，外壳，还是内科，或别的
疾病问诊,天津儿童医院网上预约挂号我女儿发育过早，有朋友在贵医院就诊过效果挺好，想咨询一下专家。
疾病问诊,检查心脏到吉大二院哪挂号心脏跳得快到哪里检查
疾病问诊,面部十多年前被开水烫伤，留下一个疤，伤疤在嘴角和耳朵之间，四五公分左右，，能否修复，什么时候可以预诊挂号
疾病问诊,请问网上预约挂号没有耳鼻喉科吗经常扁桃体发炎该挂号什么科室
疾病问诊,9岁小孩，老师说不认真听课，记不住东西，怎么回事该怎样挂号
疾病问诊,一直感冒想明天早上去中日看需要提前挂号吗需要验血需要今天去排队挂号还是明天早上就可以
疾病问诊,浙江大n学第一附属医院网上甲状腺治疗中心专家挂号我昨天去过你们医院检查了，没挂专家号，现在想预约专家号，怎么预约我是查出来是甲状腺结节，医生建议我动手术
疾病问诊,我想问一下发烧是那个科室发烧几天没有退想知道我网上挂号挂那个科室
疾病问诊,会厌囊肿想手术怎么预约挂号会厌囊肿想手术怎么预约挂号会厌囊肿想手术怎么预约挂号
疾病问诊,厦门第一医院网上预约挂号平台未到经期有时子宫会出少量的血，担心是不是子宫瘤请问这种情况去检查要挂什么科室？
疾病问诊,身上时有时无的痒痒，以前起过急性荨麻疹，现在起的是鸡皮疙瘩，就像被火烧很痒，最近起了很多小红点，挠完后就出血天热，烦躁时更痒，妇科，乳腺，胃，膝盖，颈椎，腰椎，经常感到胸闷心疾，现在主要是全身痒，我要怎么挂号呀。吃过去风的药，不管用
疾病问诊,妇科检查是否怀孕去三级甲等医院检查是否怀孕需要提前预约挂号吗，检查流程快吗
疾病问诊,医生我是焦作孟州的人现在怀孕6个月加14天，四维检查胎儿胆管囊性扩张，想去省妇幼做重新检查一下。需要提前预约专家挂号吗。
疾病问诊,预约挂号咨询爸爸肺部检查有一块阴影，想进一步检查，请问挂什么科，周几有专家坐诊，谢谢
疾病问诊,青岛山大医院预约挂号乳房里长个良性肿瘤想问一下，乳房里长个良性肿瘤，一定要开刀吗？
疾病问诊,安徽省中医院预约挂号人流后有10天，为了安心去医院照了B超。反映人流是做干净了，但宫腔内有极少量积液，子宫单层内膜2mm。这种情况是子宫恢复不好吗，严重吗，需要再去医院治疗吗？
疾病问诊,明早来挂号，能挂上吗视网膜再次脱落能治否疗，在三医院住院治行否
疾病问诊,四川华西医院的网上预约挂号怎么挂内膜异位长有巧力囊肿4。75。2该怎么办华西可以挂妇科吗网上怎么挂号
疾病问诊,出生时诊断为先天性尿道下裂，孩子小建议半岁以后手术半岁时可以手术吗，需要提前预约挂号吗
疾病问诊,不孕不育和脱发应该分别去哪个科室挂号？得到医生解答
疾病问诊,网上可以挂号吗？如果当天去可以挂上吗第一年吃了一年中药又吃了一年他吧挫想知道自己属于甲亢的那种
疾病问诊,当天排队挂号能不能看到病呢去检查一下是不是肝癌
疾病问诊,山大一院预约挂号，明天周日可以挂号或检查吗？我儿子14岁了，上半年咳嗽是肺炎，现在天刚冷又咳嗽了，想检查下是什么问题，拍个胸片或是其他检查。
疾病问诊,淮安妇幼保健院微量元素检查周日做吗，什么时候出结果，要挂号什么课我想带小孩做微量元素检查，周日有人检查吗，到那里找什么医生做，要找哪课室
疾病问诊,京同仁医院网上预约挂号我小女儿今年六岁，上个月检查出双耳神经性耳聋，目前右边没有听力，左边还有一点听力，小孩子现在能说一些简单话，但吐词不太清楚，平衡度也不太好，走路容易摔跤，出门不愿意走路。是否有治疗的方法？
疾病问诊,常州一院预约挂号今天在金坛人民医院做了胃镜：胃底间质瘤？建议腹部ct检查请问如何治疗？
疾病问诊,皮肤病相关问题春节后脸上长了两个小疙瘩，没有注意，现在面积扩大了，想去贵处就诊治疗，周一可以吗，什么时间去挂号？谢谢
疾病问诊,请问看胃病要不要提前挂号，？胃病:化生不适。无请专家，苏北的去了就看。
疾病问诊,发病时间：最近持续一个多月的低烧主要病症：一旦低烧，就觉得浑身无力，头晕，心跳加快，全身难受。停止低烧，就还好就诊经历：2014年10月有患类风湿病，一直在治疗类风湿现在持续的低烧，我该挂号什么科？需要先做个全身体检吗？
疾病问诊,孩子后脖子上有个疙瘩挂号什么科
疾病问诊,咨询儿童发育迟缓的问题，可以挂号到儿童医院哪位医生？在这方面权威的核磁共振都做过，一些必要的检查都有没有明确的病理缺陷，只是说话晚，现在和人的交流上感觉有点不顺畅，想去儿童医院就医，不知道该选择哪位医生
疾病问诊,近十天腰疼，坐着疼得厉害，坐上一会感觉腿也跟着疼，右腿。头上下低时觉着筋短大腿外侧也疼没有检查过如果挂号看什么科
疾病问诊,耳朵突然听不见，开始有呕吐症状、头晕在本地医院检查，医生说是颈椎骨质增生引起，医生让在院输液，现在一周了也没有好转。到哪里治疗，不需要预约挂号的医院。
疾病问诊,结婚快三年了一直没有怀孕如果去医院检查的挂号要挂什么科？
疾病问诊,同仁医院网上预约挂号挂眼肌科医生看弱视
疾病问诊,膀胱癌早期做了手术就好了吗？我已经检查出来了膀胱癌症，不知道现在就是不知道是不是做了手术就好了，很担心，是吃药物好还是做手术好。这一般要去男科挂号还是去什么科呢？怎么办好。请问膀胱癌早期做手术了效果好吗？
疾病问诊,我是24岁的女性体检结果是出来是转氨酶高，尿酸高，胆固醇高，具体应该怎么治疗，挂什么科治疗呢？？？体检查出中度脂肪肝具体如何治疗如何挂号呢？？
疾病问诊,请问颈椎病挂什么科？我想预约挂号，颈椎病导致双手麻、涨、痛（不分黑白天）脖子也酸痛，厉害已经有3年了是，检查过，没有治疗过。想问一下：颈椎病导致白天夜里两只手都麻、涨、痛，怎样能缓解？谢谢。
疾病问诊,华西医院网上预约挂号便秘，两三天解一次，每次只解很少，说有内外痔疮解手正常，肛门不涨得痛
疾病问诊,验血怀孕，预约挂号去三级甲等医院做验血检查是否怀孕，需要提前预约吗？还是直接去挂号就诊，就可以做检查了？
疾病问诊,我现在怀孕5周多，想流产，如果预约挂号之后，只要预约当天到医院做手术就行了嘛？需要提前去做检查吗？
疾病问诊,吉林油田总医院我想做四维彩超能先挂号吗我想预约挂号可以吗
疾病问诊,同仁医院耳鼻喉挂号医生检查中耳炎四天吃药输液还是不好耳朵还痛流脓彻底治好，不要反复
疾病问诊、科室挂号,医生，我想咨询下心脏早搏挂什么科室呢医生，我想咨询下心脏早搏挂什么科室呢，还有手臂和肩膀疼痛，仰头就痛，我想挂号，不知挂什么科室？
疾病问诊,佳木斯市妇幼保健院挂号。我要去做四维，想问一下用提前预约么每月都做产检可不可以替我预约
疾病问诊,在医院查出缺铁性贫血应该怎么办体检查出贫血，然后去血液科挂号医生说这个年龄可能是缺铁性贫血，然后抽血化验铁蛋白，报告显示确实铁蛋白低可以根治么？有什么危害？应该吃什么药
疾病问诊,腰痛，不能站着检查说是骨质增生挂号挂什么科？
疾病问诊,省立医院我已经在六安做过胃镜诊断胃体黏膜隆起性质待定去省立医院看过要做超声内镜检查，当时钱不够我现在再去直接交钱可以做吗，需要从新挂号吗需不需要从新挂号
疾病问诊,早产儿脑损伤在本院治疗现在去复查头颅DRT需要挂号吗？还是直接去住院部
疾病问诊,怎样才能在网上预约挂号黄植番这个教授2014年被诊断为小细胞未分化肺癌，现经化疗两次及中药治疗，时好时坏，想请求黄教授的治疗帮助
疾病问诊,延大附院预约挂号我家小孩转氨酶高怎么治疗
疾病问诊,持续低烧发烧一个多月了挂号应该挂那个科室想知道挂号具体挂那个科室
疾病问诊,做四维彩超，需要挂号吗，挂哪个科的号做四维彩超，需要挂号吗，挂哪个科的号
疾病问诊,郑大一附院预约挂号，尿道下裂喽尿已经做过两次手术想问哪位医生做的好，现在床位有没有
疾病问诊,给小孩看疝气预约挂号是挂外科还是外科门诊给小孩看疝气预约挂号是挂外科还是外科门诊
疾病问诊,我外公前段时间右脚受伤感染了?之后就肿起来了?后来住院因为有肾炎?住了10多天肾病内科?输液之后肿消下去了?医生说肾炎没什么大问题?主要是右脚皮温还有点高?但是肿已经消了?就出院了?这几天本来消肿的右脚又肿起来了??:我想问下这个情况挂号应该挂哪个科啊？
疾病问诊,网上预约贵阳妇幼保健院挂号医生好，我孩子16岁了现在在我们黔南州检查孩子智力障碍，指定到你们医院做IQ值鉴定我要挂什么科？怎么预约挂什么科
疾病问诊,北京同仁医院网上预约挂号弱视如何治疗
疾病问诊,请问下耳垂囊肿挂号挂那个科室做个开刀引流手术大概的多久
疾病问诊,项主任我是茂名市这边的，我女儿有高度远视和内斜视，我是五月十一号去你那检查，是另外一个医生配镜的说三个月后去复查，我打算这段时间去找你复查的，但总预约不到你，要是我这个月的二十号星期六去排队挂号挂不了号可以直接找你加号吗？
疾病问诊,我是卵巢囊肿患者想预约挂号2015年2月11日经腹部超声探测右侧卵巢囊肿9。27。44。8是否适合微创手术能否预约挂号
疾病问诊,广西区妇幼保健院预约挂号小孩2岁，因感冒引起咳嗽，有痰，已到门诊就诊，初步确诊为肺炎，低烧已打针3天，目前情况稍有好转，咳得没那么严重和频繁了，睡觉起来咳得多有痰缓解咳嗽，降温
疾病问诊,胡医生，我想问一下咱们医院孕妇可以做四维吗？需要提前挂号吗？有什么注意事项呢无关于做四维的程序和注意事项
疾病问诊,请问我怀疑我的甲状腺有瘤，应该挂哪个科室做检查呢？谢谢应该挂哪个科室呢？想在网上预约挂号谢谢
疾病问诊,时有咳嗽，无体重减轻、无咯血等症状，体检时胸部X片发现右上肺占位性病变：肺Ca？建议进一步检查胸部X片发现右上肺占位性病变：肺Ca？建议进一步检查想到贵院进一步检查、确诊、并资料，需要挂号
疾病问诊,华西网上预约挂号血脂高挂哪个科
疾病问诊,青岛妇女儿童医院预约挂号半年了，早晨打喷嚏，平日有鼻涕。1岁检查说是过敏性鼻炎用的抗过敏的药和龙马滴液想再看看有没有好方法
疾病问诊,之前医生说供血不足，输了三天液也没好转，想问下怎么回事，我挂号，挂那个科呢
疾病问诊,我右侧腰腿痛多年了，现感觉右腿比左腿细。10年多了不知道上医院看需要挂号哪个科？
疾病问诊,我怀孕22+2周了，想做四维彩超曾做过B超请问明天做吗，挂号挂哪个科
疾病问诊,高血压高压和低压都很高高压最高时达到195低压105目前高压降至150低压依然在105高压症状持续了10天左右检查过也做过血检心电图医生说问题不大三高请问这种情况应该检查哪些项目挂号挂心血管内科还是其他科室
疾病问诊,高锰酸钾坐浴，痔疮栓内用能治好痔疮吗痔疮挂号哪个科指检内痔一个，并肛窦炎。大便后不能自动收回到肛内无出血症状请问我该买什么药好呢。
疾病问诊,我现在怀孕24周了，需要做三维彩超检查，到协和医院需要到大厅去挂号吗
疾病问诊,左手腕腱鞘囊肿应挂号哪个科室看病，
疾病问诊,省医院城东病区预约挂号意外怀孕5个月之久，也是才知道的，医院检查过。已有20周左右人流手术越快越好时间不能再托了
疾病问诊,发现过敏性紫殿约1年，反复出现四肢皮下出血点约2个月，血、尿常规检查无异常。现口服泼尼松、维生素c片及开瑞坦治疗。足背及踝部基本消退但大腿及上肢出现新出血点。请教是否有更好的治疗方法及医生你是否开通了网上预约挂号。以上是我妈妈的情况今年61岁。谢谢
疾病问诊,照CT有阴影头痛怎么在网上挂号
疾病问诊,华西医院网上预约挂号头晕，四肢无力，血糖偏高，挂什么科曾经检查过血糖偏高，挂什么科
疾病问诊,检查是否怀孕挂号妇科就可以了吗？若不想要孩子呐？
疾病问诊,可不可以网上挂号，挂明天的号舌头痛检查过请回答谢谢
疾病问诊,怀孕20周，预约四维b超之前检查一切正请问挂号当天能做吗、如果预约要多长时间
疾病问诊,网上预约挂号口腔溃炎如何治疗
疾病问诊,北京安贞医院网上预约挂号、当天去往贵医院能否挂上号（还是提前预约）心脏病，现在病人病情加重想当天挂号检查病情
疾病问诊,吉大一院心血管内科专家挂号心总难受发病出汗脸色发黄每天都犯检查过，也治疗了没见效挂号再查，治疗
疾病问诊,请问产科生孩子可以从这里挂号预约吗？已经到预产期了，请问可以在从这里挂号预约主治医师吗？孕前检查一直在做，各项检查目前都正常。帮忙顺利的住院，预约主治医师，顺利生产，谢谢
疾病问诊,天津464医院胃镜预约挂号明天早晨想去做胃镜需要准备什么当天可以做吗?、
疾病问诊,安徽医科大学第一附属医院网上预约挂号发低烧3天伴左胸痛
疾病问诊,北大口腔医院中医黏膜科现在如果网上挂号得提前几天？
疾病问诊,儿童医院预约挂号医生说叫去医院照个心脏彩超问我明天去能照上了吗还用先去挂号吗
疾病问诊,西南医院网上预约挂号父亲头晕四肢麻木该挂什么科
疾病问诊,青岛青医附院东院网上挂号去年做过脑垂瘤激光手术，想复查是不是要做核磁共振啊
疾病问诊,温州附二医网上挂号预约双侧乳腺多发性囊肿
疾病问诊,苏州市二院网上挂号有介入科吗在一院治疗尿血，左贤血管梗塞，出院后十五天又二次尿血，有血块，左肾仍涨痛有介入科治疗吗
疾病问诊,不孕不育科系五年前生个小孩，今一直怀不上。我用人工怀孕可以吗？预约挂号挂边科
疾病问诊,心脑血管内科华西医院咋挂号？头晕脑胀很厉害，心悸胸闷还很痛，请问医生我该咋治疗？病情每况愈下，请问医生有没有好的治疗方法？
疾病问诊,我想挂号，直肠息肉又有溃疡是，直肠距肛缘8厘米腺瘤样息肉直肠息肉想做手术
疾病问诊,我怀孕70天可以不预约来挂号可以直接说查DNA吗？我怀孕70天可以不预约来挂号可以直接说查DNA吗？
疾病问诊,疝气挂号吗65，岁，男，疝气，想做手术想在二院挂号，做手术什么时侯能去，疝气
疾病问诊,甲状舌骨囊肿挂号哪个科室不知道该挂号哪个科室
疾病问诊,湖南省妇幼保健院网上预约挂号田艾军心脏三尖瓣反流预约四维彩超
疾病问诊,在小孩小的时候检查其骨骼是否发育正常，能否长高，请问检查小儿能否长高挂号在哪儿？挂号科目，专家，如何预约
疾病问诊,我怀孕十五到你们医院做检查医生让我二十周内去做塘市筛查到医院做过产前检查我不知道怎么网上预约挂号
疾病问诊,海南省人民医院网上预约挂号我今年怀孕两次，都是先预兆流产，第1次约5周未见胚芽，4月份就做人流术，第2次刚怀上就吃保胎灵，约7周做b超就胚胎禁止发育了，11月份又做了人流术，很痛苦，不知道什么原因，想要孩子先怎样治疗呢
疾病问诊,风湿免疫科周六周日开门诊吗，什么时间挂号？风湿免疫科周六周日开门诊吗，什么时间挂号，挂号难吗。我是学生，休息日想去看病，可以吗
疾病问诊,四川医华西医院网上预约挂号看肠和胃挂什么科有那些专家医生诊为肠胃炎几年了吃了很多药不见好转现在肚子痛胃肠镜都做过没问题就想在华西医院做检擦
疾病问诊,骨髓检查需要预约挂号么，我们想要专家门诊骨髓检查需要预约挂号么，我们想要专家门诊
疾病问诊,喉镜复查怎样挂号前十天在耳鼻喉病房出的院诊断为急性会厌炎出院时医生嘱咐在咽喉部有一肿物一定复查性质待查预约挂喉镜检查
疾病问诊,山西大医院预约挂号呼吸科许建英我是许大夫的病人，2008年4月哮喘病首次发作，按医生吩咐有药效果很好，再未发作过。每晚吸一次布地奈德，可以继续用吗？是否已产生了依赖？感觉不吸就不舒服。检查属过敏哮喘布地奈德可以再吸吗？或换什么药。
疾病问诊,长春市医大一院挂号咳嗽半年检查，治疗过，没有好转想治疗咳嗽
疾病问诊,我的腰部左侧疼痛较为厉害，坐或者蹲着3/5分钟，起来后就特别疼，直不起来的感觉，一打直就疼，要过一会才稍微好点，不敢用力，不知道我该去看什么科室，怎么预约挂号？咨询一下
疾病问诊,，早晨几点可以挂号呀，这次犯得比较长，前期有便血现象，现在便血没有了，但是现在每次大便是还是便不干净，次数多，都害怕上错所了。用马应龙痔疮栓和膏，效果不是特别好，混合痔，好像也有点肛裂，这次犯的时间比较长是否做手术，谢谢。
疾病问诊,天津中心妇产医院预约挂号结婚半年了，一直没有怀孕，想检查一下
疾病问诊,肛门有块肉露出来了，在别的医院检查有痔疮和肿瘤没有治疗想在医大二院挂号
疾病问诊,小孩割包皮挂号挂什么科，要住院吗？
疾病问诊,河北保定大学附属医院挂号预约电话小孩两岁零三个月了，右手手指让电动车轮胎缴了，快半年了，手指还是伸不直，以前没去医院治疗就是看看手术能不能治好，手指是不是直了谢谢
疾病问诊,如果做三维彩超可以预约挂号吗
疾病问诊,北大三院预约挂号治疗前列腺炎。
疾病问诊,预约挂号后天去检查两年前孩子身上有红点，特别多，去二院检查，是庞医生，诊断银屑病（牛皮癣），治疗后康复，昨天又出现类似情况，希望预约专家号，后天上午的，因为家在松原，特别不方便
疾病问诊,陕西省妇幼保健医院网上挂号系统多次检查有妇科疾病，间断治疗效果不明显到你院检查并治疗
疾病问诊,肺癌中期，在贵院做了检查在贵院做了切割手术我想知道1第一次过来复查需要挂号还是直接去找主治医师，2一般来讲，做了切割术后需要做化疗吗，谢谢
疾病问诊,住校时和同学相处钢性处理问题，被联名投述后，压力大。饮食、睡眠差了。近几天教育方法不当，令孩子压力更大了，出现了为同学只言片语反复不停的想，控制不了的想。自己心理停下时想，很痛苦难受，又说不出来。跟母亲是好朋友。电话或挂号
疾病问诊,天津肿瘤医院高明甲状腺结节我是外地的，想去天津肿瘤医院找高明医生做手术，网上预约挂号挂不上。不知本人去几天能做手术
疾病问诊,上医院挂号预约用带病人吗尿道下裂，手术治疗上医院哪个号排队等待，用带孩子吗、
疾病问诊,面瘫是在神经内科挂号吗想去治疗不知道去哪个科室治疗
疾病问诊,我想给我儿子看眼睛几点开始预约挂号了8月份看过想在去复查小孩是远视
疾病问诊,协和医院预约挂号骨科，膝关节疼痛，肿胀，发病一年多，吃过很多药，没效果，想知道具体病灶，选择有效治疗方案，找一个医术高明，责任心强的医生
疾病问诊,嘴干，感觉酸，没有唾液，一年多，看过胃没问题，这属于哪方面的事，如果挂号挂哪一科？
疾病问诊,能做四维彩超吗？做的详细吗？都需要什么或需提前准备的。能网上预约吗？还是到店挂号？
疾病问诊,哈尔滨医大二院网上预约挂号没检查过，最近晚间睡觉经常抖动，心慌，应当如何治疗
疾病问诊,吉林医大一院网上挂号缺铁性贫血，有事昏倒，脸上长白，记忆力下降，食欲不行想好好检查一下，看看应该怎样治疗
疾病问诊,我妈妈之前是左腿疼，现在右腿也开始疼了，左腿疼的更厉害些，之前有医生说是骨刺，但吃了好多药，也没好，想问一下是怎么回事之前拍过片子，医生看了说是骨刺，但是吃了好多药也没好，有说风湿的，吃药也没好想问一下如果去医院挂号的话，该挂什么科呢，同时想知道这大概是个什么病，好不好治
疾病问诊,安徽省立医院预约挂号我6月做的CT患有脑内有囊肿不知挂什么科室和治疗方案我患有脑内有囊肿不知挂什么科室找最好的专家？
疾病问诊,主任。我5月份的时候，去过174医院检查，一直检查b超，到5月29号医生叫我回家跟老公同房，医生说过有怀孕就不用去，没有就要去，可是我没有去，可是前2。3个月没有在一起，11月份出来跟老公在一起。我想问主任一下，2。3个月没有去检查，这个月在去检查，要不要从新检查和挂号
疾病问诊,鼓楼医院网上挂号左手拇指第二节有一包块
疾病问诊,向你咨询病症和提前预约挂号心脏浮肿小医院医生说有猝死现象这是什么症状
疾病问诊,血管瘤检查检查过治疗过血管瘤在哪个科室挂号
疾病问诊,请问明天星期天能去体检么？体检科中午工作到几点？下午能体检么我要体检，要不要提前挂号？我要搭2小时车过去，怕时间来不及
疾病问诊,哈医大三院预约挂号肺部有结节，没做出最后结果肺部结节怎么治疗
疾病问诊,意外怀孕的选择医生，我想知道我现在意外怀孕，差不多一个月这样，可以药流吗？是人流安全还是药流安全？如果去贵医院该在哪里挂号？还要检查吗？去医院的基本流程是什么？大概多少钱？
疾病问诊,孩子眼睛有点对眼，我们在外地，想咨询一下想来贵医院治疗，想知道是否需要进行手术，孩子轻微的对眼。如何挂号预约就诊
疾病问诊,唐筛高危21三体1:48孕妇年龄27必须做羊水穿刺手术吗怎样可以网上预约挂号
疾病问诊,怎么预约挂号脸上和脖子上长的扁平疣
疾病问诊,请问一下，打你们那里挂号看病要用多少时间？？腱鞘囊肿应该挂什么科
疾病问诊,经常鼻出血，睡觉时会突然就流鼻血，去医院该作哪些检查？挂号该那个科？
疾病问诊,积水潭医院网上预约挂号膝关节疼痛、肿大，上下楼困难，年初拍片检查为骨质增生引起，6月3号换了另一家医院用同一张片子又说是骨质疏松引起。请问可能是哪种情况，如果去大医院看，需要挂哪个科室
疾病问诊,想做无痛人流，该做什么检查？还有挂号挂什么科？怀孕一个月了，用试纸测显示怀孕，想去医院检查做人流，都应该做什么检查？挂号该挂什么科？人流和检查的大概费用是多少？
疾病问诊,孩子眼睛近视了，想配眼镜，需要散瞳吗孩子眼睛近视了，想去配镜，能提前挂号吗
疾病问诊,天津一中心医院预约挂号胃口不好受想做胃镜检查
疾病问诊,头昏。四肢无力我要找专家门诊。怎么挂号？
疾病问诊,患者男，两岁九个月，生下来几天就发现有疝气，主要症状就是下垂，严重的时候要到医院找医生帮忙推上去。，去年夏天（满两岁时）在鄂州市中心医院做了手术，后又复发，急切的想在网上挂号预约手术
疾病问诊,我想预约挂专家号，直接做试管怎么挂号以前做了宫外孕手术，只有一侧输卵管，还是粘连的严重
疾病问诊,西安交大二附院网上挂号脸上长了个疙瘩，有点疼，肿了，在眼睛底下，感觉好像有脓包
疾病问诊,淮安妇幼保健院网上预约我是2014年1月1日来月经，现在怀孕15周，我想挂三维彩超如何挂号，挂什么科室
疾病问诊,西南医院预约挂号我咽喉右侧边去年在医院检查说是咽喉炎经过治疗都没好现在发炎的下面都有些小疙瘩但是又不疼那个部位还喜欢长溃疡我想到你们那里来看病不知道我要挂什么科
疾病问诊,胸闷胸痛呼吸困难挂号时挂哪个科目胸闷胸痛呼吸困难怎么挂号
疾病问诊,北京协和医院预约挂号怀孕三个月前个孩子是脊髓性肌萎缩想检查下现在胎儿在肚子里的是否携带这种病应做啥检查
疾病问诊,女儿痛经，想做检查，预约挂号。医生痛经，想做子宫腺肌和子宫内膜移位检查。做检查，求急。
疾病问诊,北医三院网上预约挂号要挂骨科刘忠军专家号如何预约？如何网上挂刘忠军号
疾病问诊,青岛山大医院预约挂号溃疡性结肠炎，腹疼，腹胀，脓血便想做个肠镜，看看病情发展
疾病问诊,看颈椎病的，挂号预约之后可以直接看病吗？还是要去先安排拍MR照片，拍完后再预约时间看病。之前在小医院检查治疗过质询看病流程
疾病问诊,请问肺部出现肿块应预约哪个科室做过CT，查出肺部有肿块，现在想去医院诊断，但是不知道预约哪个科室提供科室的名称，以便尽快预约挂号
疾病问诊,儿童医院预约挂号四维彩超怀孕以前曾经吃过药。请问预约四维彩超要等多长时间想要做个四维彩超
疾病问诊,青岛山大医院预约挂号：一生气就感到前胸疼痛（感到胸膛里面疼），不敢大声说话，也不敢动作幅度大，要不就痛，持续的有好几天。这样的情况得有2年多时间了。曾经做过心电图，医生说没事该做哪些检查，能否预约挂号
